"Nome Urna			Partido"
"JOAO HENRIQUE			PPL"
"JOAO LUCIO			PROS"
"JOAO MASCARENHAS			PR"
"JOAO PESCOCINHO			PTB"
"JOÃO SALAS			PRP"
"JOAQUIM VITOR			PDT"
"JOCELIA ALBURQUERQUE			PSC"
"JOECI			PHS"
"JONAS LESSA			PODE"
"JORGE BAIANO			PMB"
"JORGE MARQUES			PSL"
"JORGE SILVA			PV"
"JORGE VIANNA			PODE"
"JOSE ARAUJO			PP"
"JOSÉ AUGUSTO CAPILÉ			REDE"
"JOSÉ GOMES			PSB"
"JOSÉ GUEDES			PSC"
"JOSE LUCIO			PHS"
"JOSENI MYLLA			PODE"
"JOSE REIS			PPL"
"JOSÉ RIBEIRO			MDB"
"JOSÉ SANTARÉM			PSB"
"JÔ SILVA			PSC"
"JOSMAILTON			PT"
"JUAN RICTHELLY			PSOL"
"JUAREZÃO			PSB"
"JUAREZ PAULINO			PT"
"JU FLOR			PTC"
"JÚLIA LUCY			NOVO"
"JULIANA DE FREITAS			PSOL"
"JULIMAR PRODUTOR			PSC"
"JÚLIO CÉSAR DELEGADO			PSB"
"JULIO CESAR JAPA			PROS"
"JULIO CEZAR			PP"
"JULIO LANCHONETE			PSC"
"JUNIOR ALMEIDA			PSDB"
"JUNIOR ESTEVES			PRP"
"JUNIOR GARI			PV"
"JURACY MARQUES			PSOL"
"JUSTO MAGALHÃES			REDE"
"JUVENIL ALVES			PR"
"KADIJA			MDB"
"KADU GOMES			NOVO"
"KAIO TEIXEIRA			PATRI"
"KALEBE			DC"
"KALEY BLADIMIR			PHS"
"KARINE MOREIRA			PP"
"KELLY BOLSONARO			PRP"
"KELLYNHA ESTRUTURAL			PSDB"
"KELRIANY SILVA			SOLIDARIEDADE"
"KENNEDY CAETANO			PODE"
"KENNEDY VALENTE			PSD"
"KEVES DIOGO			PV"
"KLESLEY GARCIA			PRP"
"KLEYSON MORENO			AVANTE"
"KYARA ZARUTY LGBTI			AVANTE"
"LAÍS SOUZA			PMB"
"LANA MIRANDA			PRB"
"LANDIM			PRB"
"LAURIZZE			PPL"
"LAY SILVA			PMB"
"LEANDRO GRASS			REDE"
"LELECA			PMB"
"LELIO NEGAO			PR"
"LENE GUEDES			PMB"
